
2024/06/02 (19:43:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/02 (19:43:41) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/02 (19:43:41) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/02 (19:43:41) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/02 (19:43:41) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/02 (19:43:41) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/02 (19:43:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/02 (19:43:41) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/02 (19:43:45) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)

2024/06/02 (19:43:49) | ===> btop++ v.1.3.2
2024/06/02 (19:43:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/02 (19:43:49) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/02 (19:43:49) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/02 (19:43:49) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/02 (19:43:49) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/02 (19:43:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/02 (19:43:49) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/02 (19:43:49) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/02 (19:44:07) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/02 (19:44:17) | ===> btop++ v.1.3.2
2024/06/02 (19:44:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
